2019-11-26 20:56:29,198	INFO	main1	<module>	Line:11	app started
2019-11-26 20:56:29,205	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-11-26 20:56:29,231	INFO	_internal	_log	Line:122	 * Debugger PIN: 185-856-785
2019-11-26 20:56:29,242	INFO	_internal	_log	Line:122	 * Running on http://192.168.2.210:9100/ (Press CTRL+C to quit)
2019-11-26 20:58:21,323	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:21] "GET /AdminLogin/checktoken/4842a2eb-f4c9-4a37-8978-8ec2f7304daa HTTP/1.1" 200 -
2019-11-26 20:58:36,356	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:36] "GET /AdminLogin/long/74205c0cecd1c24479b3fdd15c437698 HTTP/1.1" 200 -
2019-11-26 20:58:36,473	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:36] "GET /AdminLogin/checktoken/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:58:38,675	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:38] "GET /AdminLogin/checktoken/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:58:38,758	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:38] "GET /AdminLogin/checktoken/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:58:38,765	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:38] "GET /ProblemSet/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:58:40,438	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:40] "GET /AdminLogin/checktoken/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:58:40,483	INFO	_internal	_log	Line:122	192.168.2.210 - - [26/Nov/2019 20:58:40] "GET /AdminLogin/checktoken/377e9018-972d-4f6b-b171-aa377fae65ff HTTP/1.1" 200 -
2019-11-26 20:59:49,586	INFO	_internal	_log	Line:122	 * Detected change in 'C:\\development\\examsystem\\services\\daos\\problemsetDAO.py', reloading
